Deskripsi,Jenis_Konflik,Mediasi
TEMPO.CO YOGYA -Ketua Umum Partai Demokrat Anas Urbaningrum meminta kader Demokrat dari pusat sampai daerah waspada dengan beredarnya isu dan tanda-tanda gerakan yang berencana mengganggu dan menggulingkan pemerintahan Presiden Susilo Bambang Yudhoyono. Isu penggulingan pemerintahan SBY itu sebelumnya diungkapkan Menteri Koordinator Politik Hukum dan Keamanan (Menko Polkumham) Djoko Suyanto dengan memakai kendaraan atas rencana kenaikan Bahan Bakar Minyak (BBM) per April 2012. “Menko Polhukam sudah membaca tanda-tanda itu. Jadi kami pun harus lebih waspada” kata Anas di Yogyakarta Minggu malam 4 Maret 2012. Anas lantas menantang 1500 kader Demokrat Yogyakarta yang hadir dalam pelantikan itu dengan berseru. ”Soal itu saya ingin tanya ke saudara apa sudah siap? Siap atau tidak? Berani atau tidak mencegah itu?”Meski saat ini masih sebatas isu Anas berharap isu itu tak sampai berkembang menjadi kenyataan. “Kita tak bisa lengah sedikitpun harus lebih cermat dan waspada agar tidak sampai terjadi” kata dia. “Kalau bukan kita yang menjaga pemerintahan pak SBY lalu siapa lagi?” Anas mewanti-wanti jangan sampai demokrasi yang sudah dibangun mati ditengah jalan hanya karena ambisi politik yang tidak berdasar aturan main konstitusi. Dalam pelantikan yang diwarnai gerimis cukup intens itu Anas pun mengingatkan kadernya bahwa sebagai partai pemerintah kader harus paham posisinya. “Secara politik dan etis partai harus membela mengamankan dan memastikan kebijakan itu berjalan meski lahir dalam situasi sulit” kata dia. Sementara itu Wakil Ketua II DPD Partai Demokrat Daerah Istimewa Yogyakarta Putut Wiryawan dalam kesempatan itu menuturkan bahwa Jajaran Partai Demokrat di Yogyakarta akan tetap setia berada di belakang pemerintahan SBY dan kepemipinan partai di bawah Anas meski saat ini partai tengah digoyang kisruh dengan berbagai kasus yang turut membawa nama sejumlah kader.,Konflik Kepengurusan Partai,Musyawarah
"TEMPO.CO Jakarta - Sudah beberapa pekan Partai Demokrat diguncang isu pelengseran Ketua Umum Anas Urbaningrum. Dua kasus dugaan korupsi Wisma Atlet Jakabaring dan Pusat Olahraga Hambalang Sentul dan pernyataan mantan Bendahara Umum Demokrat M. Nazaruddin dianggap membuat citra partai pemenang pemilu ini menjadi jelek. Setelah 23-24 Januari lalu Dewan Pembina bertemu di Kemayoran dan Cikeas Ketua Dewan Pembina Susilo Bambang Yudhoyono akhirnya akan angkat bicara. Pukul 4 sore nanti Yudhoyono akan memberikan keterangan pers di kediamannya di Puri Cikeas Bogor Jawa Barat. ""(Jumpa pers) soal Partai Demokrat"" kata juru bicara Kepresidenan Julian Aldrin Pasha dalam pesan pendeknya Ahad 5 Februari 2012. Sebelumnya ramai diperbincangkan adanya gerakan internal yang menginginkan Anas turun dari jabatan Ketua Umum. Pengurus Dewan Pimpinan Daerah (DPD) beberapa daerah seperti Kalimantan Timur dan Jawa Tengah meminta Anas nonaktif dan mulai mendukung beberapa nama. Tetapi Wakil Ketua Dewan Pembina Marzuki Alie memastikan empat nama pengganti Anas tidak dibahas dalam rapat. Saat berkunjung ke Indramayu Kamis 26 Januari 2012 Anas menegaskan posisinya masih aman. Dia menyebut isu perpecahan di internal partai termasuk penggantian dirinya hanya rumor yang sengaja dikembangkan dari eksternal partai. ""Selama Pak SBY sebagai godfather masih firm Partai Demokrat masih solid"" kata Jero Wacik anggota Dewan Kehormatan beberapa waktu lalu di Demokrat.Apalagi dua hari lalu Komisi Pemberantasan Korupsi (KPK) menetapkan Angelina Sondakh sebagai tersangka. Wakil Sekretaris Jenderal ini diduga terlibat dalam dugaan suap proyek Wisma Atlet Jakabaring.",Konflik Kepengurusan Partai,Musyawarah
"JAKARTA KOMPAS.com — Mantan Ketua Umum DPP Partai Demokrat Anas Urbaningrum ketika menjalankan tugasnya mengaku pernah berseberangan dengan Ketua Dewan Pembina Susilo Bambang Yudhoyono terkait beberapa keputusan politik. Akibatnya SBY pernah menganggapnya keluar dari garis loyalitas. ""Lalu saya katakan (kepada SBY) ini tidak terkait dengan loyalitas. Saya harap beliau bisa mengerti dan memahami"" kata Anas pada wawancara dengan RCTI Rabu (27/2/2013). Anas tak menjelaskan secara rinci terkait keputusan-keputusan politik tersebut. Baginya perbedaan pendapat dalam pengambilan keputusan politik adalah bagian dari dinamika dalam berpartai politik. Mantan Ketua PB HMI ini sempat mengatakanada desain besar operasi kriminalisasi terhadap dirinya. Lantas seberapa berbahaya seorang Anas jika tak segera diberhentikan sebagai ketua umum? ""Saya juga tidak tahu. Saya tidak memiliki pengaruh. Tak ada kewenangan politik. Popularitas juga segitu-gitu saja"" kata Anas. Mantan anggota KPU ini bahkan menyebut dirinya sebagai anak kecil yang baru belajar berpartai politik. Tak ada alasan untuk membanding-bandingkan dirinya dengan SBY pendiri Ketua Dewan Pembina dan Ketua Majelis Tinggi Partai Demokrat. ""Jadi sesungguhnya tak ada alasan untuk takut sama saya"" kata Anas. Setelah mundur dari posisi ketua umum Anas mengaku tak pernah melakukan komunikasi dengan SBY ataupun Sekjen PD Edhie Baskoro Yudhoyono. Kendati demikian Anas mengaku menerima pesan-pesan implisit yang dikatakan datang dari Cikeas. ""Saya mengerti makna pesan tersebut. Tetapi saya tidak tahu apakah pesan itu datang langsung dari Pak SBY atau kreativitas beberapa elite partai"" katanya. Apa isi pesan tersebut? ""Ini halaman kelima"" ujarnya sambil tersenyum.",Konflik Kepengurusan Partai,Musyawarah
"Mantan Ketua Umum DPP Partai Demokrat Anas Urbaningrum ketika menjalankan tugasnya mengaku pernah berseberangan dengan Ketua Dewan Pembina Susilo Bambang Yudhoyono terkait beberapa keputusan politik. Akibatnya SBY pernah menganggapnya keluar dari garis loyalitas. ""Lalu saya katakan (kepada SBY) ini tidak terkait dengan loyalitas. Saya harap beliau bisa mengerti dan memahami"" kata Anas pada wawancara dengan RCTI Rabu (27/2/2013). Anas tak menjelaskan secara rinci terkait keputusan-keputusan politik tersebut. Baginya perbedaan pendapat dalam pengambilan keputusan politik adalah bagian dari dinamika dalam berpartai politik. Mantan Ketua PB HMI ini sempat mengatakan terhadap dirinya. Lantas seberapa berbahaya seorang Anas jika tak segera diberhentikan sebagai ketua umum? ""Saya juga tidak tahu. Saya tidak memiliki pengaruh. Tak ada kewenangan politik. Popularitas juga segitu-gitu saja"" kata Anas. Mantan anggota KPU ini bahkan menyebut dirinya sebagai anak kecil yang baru belajar berpartai politik. Tak ada alasan untuk membanding-bandingkan dirinya dengan SBY pendiri Ketua Dewan Pembina dan Ketua Majelis Tinggi Partai Demokrat. ""Jadi sesungguhnya tak ada alasan untuk takut sama saya"" kata Anas. Setelah Anas mengaku tak pernah melakukan komunikasi dengan SBY ataupun Sekjen PD Edhie Baskoro Yudhoyono. Kendati demikian Anas mengaku menerima pesan-pesan implisit yang dikatakan datang dari Cikeas. ""Saya mengerti makna pesan tersebut. Tetapi saya tidak tahu apakah pesan itu datang langsung dari Pak SBY atau kreativitas beberapa elite partai"" katanya. Apa isi pesan tersebut? ""Ini halaman kelima"" ujarnya sambil tersenyum.",Konflik Kepengurusan Partai,Musyawarah
"JAKARTA KOMPAS.com - Deputi Badan Pemenangan Pemilu (Bappilu) DPP Kamhar Lakumani menegaskan hingga saat ini tidak ada Kongres Luar Biasa di Partai Demokrat. Oleh karena itu Kamhar mengatakan apabila ada pihak-pihak yang mengatasnamakan Partai Demokrat dan hendak menggelar KLB dipastikan itu ilegal. ""Kami tegaskan tidak ada KLB di Partai Demokrat. Jika ada yang mengatasnamakan Partai Demokrat untuk menyelenggarakan KLB itu pasti ilegal"" kata Kamhar dalam keterangannya Jumat (5/3/2021). Pasalnya ia mengungkapkan bahwa DPP Partai Demokrat hingga kini belum pernah mengeluarkan Surat Keputusan (SK) Kepanitiaan tentang penyelenggaraan KLB. konstitusi Partai Demokrat.""Tak punya legal standing. Apalagi mereka-mereka yang telah dipecat dari keanggotaan Partai Demokrat sama sekali tak punya hak untuk membawa-bawa nama Partai Demokrat dan menggunakan atribut Partai Demokrat"" jelasnya. Lebih lanjut Kamhar mencermati kondisi Partai Demokrat saat ini tidak ada keadaan memaksa atau raison d'etre yang memadai untuk diselenggarakan KLB. Sebaliknya kata dia kepengurusan di bawah kepemimpinan Ketua Umum (Ketum) Agus Harimurti Yudhoyono (AHY) harus diapresiasi karena memiliki banyak pencapaian. ""Bahkan hasil survei terakhir beberapa lembaga survei Partai Demokrat telah masuk tiga besar dengan persentase elektabilitas double digit"" klaim Kamhar. Lebih jauh ia memandang bahwa apa yang dilakukan sekelompok pihak untuk menggelar KLB merupakan murni praktek 'pelacuran' kader dan para mantan kader yang terobsesi kekuasaan di satu sisi. Ia juga mengatakan KLB tersebut mempertontonkan praktek arogansi kekuasaan dari Kepala Kantor Staf Kepresidenan (KSP) Moeldoko yang berambisi mengambil alih Partai Demokrat untuk memenuhi syahwat politik di 2024. ""Kami tegaskan ini bukan persoalan internal Partai Demokrat karena tak ada sama sekali persoalan atau riak-riak dari segenap kader yang memiliki legal standing atau pemilik suara sah yaitu 34 orang Ketua DPD dan 514 orang Ketua DPC"" ungkap dia. Kamhar melihat Demokrat telah membaca bahwa gerakan itu dimotori oleh aktor eksternal yang terafiliasi dengan kekuasaan yang menggunakan tangan para mantan kader. Ia menduga sekelompok orang itu tergiur kekuasaan dan rupiah. ""Jadi ini bukan hanya indikasi praktek kekuasaan yang mengancam kedaulatan Partai Demokrat. Lebih jauh dari itu ini mengancam eksistensi demokrasi yang kita perjuangkan bersama sebagai agenda reformasi"" ujarnya. ""Sekali lagi kami pastikan tak ada Ketua DPD dan Ketua DPC yang sah menghadiri kegiatan KLB abal-abal tersebut. Semuanya masih waras""sambung dia. Sebelumnya beredar kabar bahwa sejumlah mantan kader Demokrat akan menggelar KLB pada Jumat (5/3/2021) siang. Hal itu diungkapkan oleh salah satu mantan kader Demokrat Darmizal yang mengatakan KLB akan dihadiri oleh 1.200 peserta. ""(Insya Allah) KLB dilaksanakan pada Jumat siang (5 Maret 2021). Peserta yang sudah menyatakan siap hadir sebanyak 1.200 orang. Terdiri DPC DPD Organisasi Sayap dan semua tamu undangan"" kata Darmizal dalam keterangannya Kamis (4/3/2021) malam.",Konflik Kepengurusan Partai,Musyawarah
"JAKARTA KOMPAS.com - Presidium Koalisi Aksi Menyelamatkan Indonesia (KAMI) mengaku pernah didatangi seseorang untuk terlibat dalam upaya atau penggulingan inskonstitusional terhadap Agus Harimurti Yudhoyono () dari kursi.Hal itu disampaikan Gatot dalam sesi wawancara di kanal Youtube Bang Arief pada Jumat (5/3/2021) tepatnya sebelum pelaksanaan Kongres Luar Biasa (KLB) kubu kontra-AHY yang menunjuk Kepala Staf Kepresidenan (KSP) Moeldoko menjadi.""Ada juga yang datang sama saya. Datang 'Wuh menarik juga'. Saya bilang gimana prosesnya? 'Begini Pak nanti kita bikin KLB. KLB terus gimana? Ya nanti visi yang dilakukan adalah kita mengganti AHY dulu. Mosi tidak percaya AHY turun. Setelah turun baru pemilihan' 'Bapak nanti pasti deh begini begini'. Oh begitu ya saya bilang begitu gitu"" ujar Gatot dilansir dari video di akun Instagram miliknya @nurmantyo_gatot Minggu (7/3/2021). Setelah mendengar tawaran tersebut mantan Panglima TNI itu justru langsung mengingat sosok Presiden ke-6 sekaligus Ayahanda AHY Susilo Bambang Yudhoyono (SBY). ""Saya bilang menurunkan AHY saya bilang gini lho 'Saya ini bisa naik bintang satu bintang dua taruh lah itu biasalah. Tapi kalau begitu saya naik bintang tiga itu Presiden pasti tahu kan gitu. Kemudian jabatan Pangkostrad pasti Presiden tahu. Apalagi Presidennya tentara waktu itu Pak SBY ya kan. Tidak sembarangan gitu"" kata Gatot. ""Bahkan saya Pangkostrad dipanggil oleh SBY ke Istana 'Kamu akan saya jadikan Kepala Staf Angkatan Darat'. Karena saya terima kasih atas penghargaan ini dan akan saya pertanggungjawabkan. 'Laksanakan tugas dengan profesional. Cintai prajuritmu dan keluarga dengan segenap hati dan pikiranmu. Itu saja selamat'. Beliau tidak titip apa-apa tidak pesan lainnya lagi"" sambung Gatot. Gatot mengakui bahwa SBY merupakan presiden yang telah membantunya meraih prestasi di dunia kemiliteran. Berkat jasa besar SBY itu lah yang membuat Gatot tanpa berpikir dua kali langsung menolak tawaran kudeta terhadap AHY. Ketua Umum Demokrat ""Maksud saya begini apakah iya saya dibesarkan oleh dua Presiden. Satu Pak Susilo Bambang Yudhoyono satu lagi Pak Joko Widodo kan gitu. Terus saya membalasnya dengan mencongkel (kudeta) anaknya"" imbuh Gatot. Sebagaimana diketahui Demokrat belakangan ini tengah dilanda berbagai polemik. Puncaknya adalah terselenggaranya KLB kubu kontra-AHY yang berlangsung di Deli Serdang Sumatera Utara Jumat (5/3/2021). Di mana KLB tersebut menunjuk Moeldoko sebagai Ketua Umum Demokrat. ""Dengan rahmat Tuhan Yang Maha Esa Kongres Luar Biasa menimbang dan memperhatikan bahwa putusan menetapkan pertama dari dua calon atas voting berdiri maka Pak Moeldoko ditetapkan menjadi Ketua Umum Partai Demokrat periode 2021-2026"" kata mantan kader Demokrat Jhoni Allen di KLB Jumat (5/3/2021).",Konflik Kepengurusan Partai,Musyawarah
"JAKARTA KOMPAS.com - Mantan Wakil Ketua Dewan Pimpinan Cabang Partai Demokrat Kota Kotamobagu Gerald Piter Runtuthomas mengaku diiming-imingi uang Rp 100 juta agar mengikuti kongres luar biasa yang digelar kubu kontra-Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (). Hal itu diungkapkan Gerald dalam video testimoni yang ditayangkan dalam konferensi pers AHY pada Senin (8/3/2021) melalui akun Youtube Agus Yudhoyono. ""Saya ikut karena diiming-imingi uang yang besar Rp 100 juta. Yang pertama kalau saya tiba di lokasi maka dapatkan 25 persen dari Rp 100 juta yaitu Rp 25.000.000 selesai KLB akan mendapatkan sisanya yaitu Rp 75 juta"" kata Gerald dalam video tersebut. ""Tetapi nyatanya kita cuma dapat uang Rp 5 juta"" ujar dia. Gerald menuturkan sejumlah peserta KLB pun protes karena uang yang diterima tidak sesuai dengan yang dijanjikan. Peserta KLB yang protes itu antara lain berasal dari Maluku Papua dan Sulawesi Utara termasuk dirinya. Ia tidak terima hanya mengantongi Rp 5.000.000 karena merasa telah berkorban dengan melawan ketua DPC di daerahnya untuk dapat hadir di KLB tersebut. ""Kami berontak karena tidak sesuai harapan tiba-tiba dipangil dan ditambahi uang Rp 5 juta oleh bapak M Nazaruddin"" ujar dia. Ia pun menyampaikan permohonan maaf kepada ketua DPC ketua DPD dan AHY karena telah mengikuti KLB dengan iming-iming uang berjumlah besar. Menanggapi itu AHY memaafkan perbuatan Gerald seraya memaklumi pergulatan batin yang dialami Gerald ketika diiming-imingi uang untuk mengikuti KLB. ""Saya juga tidak membayangkan pasti bergemuruh rasa hatinya di satu sisi sangat berat untuk berangkat ke Deli Serdang tapi di sisi lain mungkin dia punya kebutuhan. Nah yang jahat itu siapa sekarang?"" kata AHY. Menurut AHY testimoni tersebut menunjukkan adanya praktik politik yang tidak adil dan tidak etis. Ia mengatakan dunia politik semestinya menjadi tempat untuk mengabdi bukan semata-mata menjadi cara untuk berkuasa. ""Kita tidak bisa lagi berkompetisi dengan cara-cara yang tidak fair dan tidak sehat. Karena kompetisi yang tidak fair dan tidak sehat itulah yang mengurungkan niat putra putri terbaik bangsa untuk masuk dalam gelanggang politik"" ujar AHY. Diberitakan sebelumnya KLB yang digelar oleh kubu kontra-AHY di Deli Serdang pada Jumat (5/3/2021) menetapkan Kepala Staf Kepresidenan Moeldoko sebagai ketua umum Partai Demokrat periode 2021-2025. Namun AHY menyebut KLB tersebut ilegal karena tidak memenuhi syarat penyelenggaraan KLB yang diatur dalam AD/ART Partai Demokrat. Berdasarkan AD/ART KLB baru dapat diselenggarakan jika disetujui dan diikuti oleh sekurang-kurangnya 2/3 ketua Dewan Pimpinan Daerah (DPD) dan 1/2 ketua Dewan Pimpinan Cabang (DPC) se-Indonesia. Selain itu KLB juga mesti disetujui oleh Ketua Majelis Tinggi Partai Demokrat yang dijabat oleh Susilo Bambang Yudhoyono.",Konflik Kepengurusan Partai,Musyawarah
"JAKARTA KOMPAS.com- Kader yang telah dipecat Darmizalmengklaim Kongres Luar Biasa () yang digelar kubu kontra-Ketua Umum Agus Harimurti Yudhoyono () akan menghasilkan Kepala Kantor Staf Kepresidenan (KSP) sebagai ketum baru. ""Suara yang diberikan kemungkinan akan menjadi suara mayoritas kader"" kata Darmizal dalam keterangannya Kamis (4/3/2021). Menurut Darmizal kubu yang menggelar KLB berharap Partai Demokrat akan kembali kepada kejayaan di bawah kepemimpinan yang baru. ""Insya Allah di bawah pimpinan ketum baru PD akan menjadi pemenang pemlu 2024 dengan target perolehan suara di atas 25 persen"" ucap dia.Ia mengatakan seluruh kebutuhan alat peraga bakal dipersiapkan dan ditanggung oleh Dewan Pimpinan Pusat (DPP). ""DPD dan DPC Indonesia tinggal bekerja keras meyakinkan suara masyarakat Indonesia"" ujarnya. Darmizal tidak menjelaskan siapa DPP yang dimaksud sebab saat ini AHY masih memegang kendali terhadap DPP Partai Demokrat. Meski begitu Darmizal memastikan bahwa penggantian ketum baru itu akan berlangsung hari ini. Dia menyebut KLB akan dihadiri sekitar 1.200 orang yang terdiri dari peserta DPC dan DPD dan tamu undangan di seluruh Tanah Air. ""(Insya Allah) KLB dilaksanakan pada Jumat siang (5 Maret 2021). Peserta yang sudah menyatakan siap hadir sebanyak 1.200 orang. Terdiri DPC DPD Organisasi Sayap dan semua tamu undangan"" kata dia. Darmizal bukan satu-satunya kader yang telah dipecat Partai Demokrat atas tuduhan melakukan kudeta kepemimpinan. Dia tak sendiri Demokrat juga memecat enam kader lainnya yakni Yus Sudarso Tri Yulianto Jhoni Allen Marbun Syofwatillah Mohzaib Ahmad Yahya dan Marzuki Alie. Menanggapi rencana KLB Kepala Badan Komunikasi Strategis Partai Demokrat Herzaky Mahendra Putra mengatakan para mantan kader Demokrat tidak perlu memaksakan diri. ""Jangan memaksakan diri membuat KLB bodong. Sudah mantan kader masih saja mau ikut-ikutan mengurus Partai Demokrat. Lebih baik waktunya dipakai buat bantu rakyat saja yang sedang kesulitan karena pandemi dan bencana"" kata Herzaky dalam siaran pers Rabu (3/3/2021). Ia mengingatkan berdasarkan AD/ART Partai Demokrat KLB hanya bisa digelar jika diminta oleh Majelis Tinggi Partai (MTP) atau diminta oleh minimal 2/3 DPD 1/2 DPC dan disetujui Ketua MTP yakni Susilo Bambang Yudhoyono. ""Sedangkan DPD 100 persen kemarin sudah hadir di Jakarta dan menolak KLB. Begitu juga dengan Bapak SBY selaku Ketua MTP sudah menolak KLB. Teman-teman DPC dari berbagai daerah pun banyak yang sudah menyuarakan menolak KLB"" ujar Herzaky.",Konflik Kepengurusan Partai,Musyawarah
"JAKARTA KOMPAS.com - Kepala Badan Komunikasi Strategis DPP Partai Demokrat Herzaky Mahendra Putra menegaskan yang digelar oleh kubu yang kontra terhadap Ketua Umum Agus Harimurti Yudhoyono (AHY) dapat dipastikan inkonstitusional dan ilegal. Herzaky kemudian membeberkan syarat dan ketentuan KLB yang sah. Salah satunya disetujui atau diminta oleh Ketua Majelis Tinggi Partai (MTP) Partai Susilo Bambang Yudhoyono (). ""Kalau para pelaku masih berencana melakukan KLB sudah pasti itu inkonstitusional dan ilegal. Inkonstitusional karena KLB harus disetujui MajelisTinggi Partai (MTP) partai Demokrat yang Bapak SBY selaku Ketua MTP"" kata Herzaky dalam keterangannya Senin (1/3/2021). Selain itu Herzaky mengatakan bahwa KLB yang legal adalah KLB yang disetujui pula oleh Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) yang menjadi Wakil Ketua MTP. Oleh karena itu ia menilai bahwa KLB yang dilakukan oleh GPK-PD merupakan tindakan yang ilegal dan membingungkan. Sebab menurut dia tidak mungkin AHY akan mengizinkan KLB yang mana justru akan mengkudeta dirinya sendiri. ""Masak Mas AHY mau mengkudeta diri sendiri?"" ujarnya. Selain itu ia menjelaskan bahwa syarat KLB yaitu harus disetujui oleh 2/3 dari seluruh 34 DPD dan 1/2 dari 514 DPC. Hal ini menurutnya tidak mungkin terjadi sebab semua DPD dan DPC justru setia kepada AHY dan menolak KLB. ""Sedangkan DPD 100 persen kemarin sudah hadir di Jakarta dan menolak KLB. Begitu juga dengan Bapak SBY selaku Ketua MTP sudah menolak KLB. Teman-teman DPC dari berbagai daerah pun banyak yang sudah menyuarakan menolak KLB"" ujar Herzaky. Herzaky menegaskan adapun syarat dan ketentuan itu sudah tercantum berdasarkan Anggaran Dasar dan Anggaran Rumah Tangga (AD/ART) Partai Demokrat. Oleh karena itu ia menduga bahwa apabila KLB digelar oleh GPK-PD maka dapat dipastikan ilegal karena yang hadir bukan pemilik suara yang sah. ""Ilegal karena kalau ada KLB pasti yang hadir bukan pemilik suara sah. Alias KLB bodong ini namanya"" ujar dia. Diberitakan sejumlah mantan kader Demokrat dan pihak eksternal akan menggelar KLB Demokrat versi mereka. Hal ini dibeberkan oleh mantan kader Demokrat Darmizal yang mengatakan bahwa KLB akan dihadiri sekitar 1.200 orang yang terdiri dari peserta DPC dan DPD dan tamu undangan di seluruh Tanah Air. ""(Insya Allah) KLB dilaksanakan pada Jumat siang (5 Maret 2021). Peserta yang sudah menyatakan siap hadir sebanyak 1.200 orang. Terdiri DPC DPD Organisasi Sayap dan semua tamu undangan"" kata Darmizal dalam keterangannya Kamis (4/3/2021) malam.",Konflik Kepengurusan Partai,Musyawarah
"JAKARTA KOMPAS.com - Kepala Badan Komunikasi Strategis Partai Herzaky Mahendra Putra menegaskan kongres luar biasa (KLB) yang digelar oleh kelompok kontra-Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) bukan masalah internal Partai Demokrat saja. ""KLB dagelan tersebut bukanlah persoalan internal Partai Demokrat belaka karena yang menyelenggarakan adalah Mantan Kader PD dan pihak eksternal dari PD"" kata Herzaky dalam keterangan tertulis Sabtu (6/3/2021). Herzaky menuturkan keterlibatan Kepala Staf Kepresidenan Moeldoko telah nyata dan terang benderang dibuktikan dengan terpilihnya Moeldoko sebagai Ketua Umum Partai Demokrat lewat KLB tersebut. Lalu mantan Panglima TNI itu pun menerima keputusan KLB yang digelar sejumlah mantan kader Demokrat tersebut. Herzaky menuturkan perbuatan tersebut inkonstitusional karena KLB digelar tidak sesuai dengan syarat-syarat dalam Anggaran Dasar dan Anggaran Rumah Tangga (AD/ART) Partai Demokrat. ""Sehingga tindakan penyelenggaraan KLB dagelan ini merupakan perbuatan melawan hukum. Bahkan KSP Moeldoko bisa dikatakan melakukan abuse of power mengingat posisinya yang sangat dekat dengan kekuasaan"" ujar Herzaky. Herzaky melanjutkan pemerintah wajib melindungi dan mengayomi Partai Demokrat dengan melawan tindakan Moeldoko guna menjaga iklim demokrasi. ""Jadi sangat tidak adil jika pemerintah masih menerima hasil KLB abal-abal yang menetapkan Moeldoko apalagi hanya menganggap ini isu internal"" kata dia. Adapun hal ini disampaikan Herzaky menanggapi pernyataan Menteri Koordinator bidang Politik Hukum dan Keamanan Mahfud MD yang menyebut konflik Partai Demokrat baru menjadi persoalan hukum ketika kelompok KLB mendaftarkan kepengurusan baru Demokrat hasil KLB ke Kementerian Hukum dan HAM. ""Kasus KLB PD baru akan jadi masalah hukum jika hasil KLB itu didaftarkan ke Kemenkumham. Saat itu Pemerintah akan meneliti keabsahannya berdasar UU dan AD/ART parpol"" kata Mahfud dalam akun Twitter resminya Sabtu (6/3/2021). Mahfud mengatakan pemerintah sejak masa kepemimpinan Presiden Megawati Soekarnoputri hingga Joko Widodo tidak pernah melarang adanya KLB atau musyawarah nasional luar biasa (Munaslub). Sebab kata dia pemerintah menghormati independensi internal partai politik. ""Risikonya pemerintah dituding cuci tangan. Tapi kalau melarang atau mendorong bisa dituding intervensi memecah belah dan sebagainya"" ujar mantan Ketua Mahkamah Konstitusi tersebut.",Konflik Kepengurusan Partai,Musyawarah
