Jenis_Konflik,Mediasi,Final_Deskripsi_Summary
Konflik Kepengurusan Partai,Musyawarah,Ketua Umum Partai Demokrat Anas Urbaningrum meminta kader Demokrat dari pusat sampai daerah waspada dengan beredarnya isu dan tanda-tanda gerakan yang berencana mengganggu dan menggulingkan pemerintahan Presiden Susilo Bambang Yudhoyono.
Konflik Kepengurusan Partai,Musyawarah,Sudah beberapa pekan Partai Demokrat diguncang isu pelengseran Ketua Umum Anas Urbaningrum.
Konflik Kepengurusan Partai,Musyawarah,Mantan Ketua Umum DPP Partai Demokrat Anas Urbaningrum ketika menjalankan tugasnya mengaku pernah berseberangan dengan Ketua Dewan Pembina Susilo Bambang Yudhoyono terkait beberapa keputusan politik.
Konflik Kepengurusan Partai,Musyawarah,Mantan Ketua Umum DPP Partai Demokrat Anas Urbaningrum ketika menjalankan tugasnya mengaku pernah berseberangan dengan Ketua Dewan Pembina Susilo Bambang Yudhoyono terkait beberapa keputusan politik.
Konflik Kepengurusan Partai,Musyawarah,Deputi Badan Pemenangan Pemilu (Bappilu) DPP Kamhar Lakumani menegaskan hingga saat ini tidak ada Kongres Luar Biasa di Partai Demokrat.
Konflik Kepengurusan Partai,Musyawarah,Presidium Koalisi Aksi Menyelamatkan Indonesia (KAMI) mengaku pernah didatangi seseorang untuk terlibat dalam upaya atau penggulingan inskonstitusional terhadap Agus Harimurti Yudhoyono () dari kursi.
Konflik Kepengurusan Partai,Musyawarah,Mantan Wakil Ketua Dewan Pimpinan Cabang Partai Demokrat Kota Kotamobagu Gerald Piter Runtuthomas mengaku diiming-imingi uang Rp 100 juta agar mengikuti kongres luar biasa yang digelar kubu kontra-Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono ().
Konflik Kepengurusan Partai,Musyawarah,"Kader yang telah dipecat Darmizalmengklaim Kongres Luar Biasa () yang digelar kubu kontra-Ketua Umum Agus Harimurti Yudhoyono () akan menghasilkan Kepala Kantor Staf Kepresidenan (KSP) sebagai ketum baru. """
Konflik Kepengurusan Partai,Musyawarah,Kepala Badan Komunikasi Strategis DPP Partai Demokrat Herzaky Mahendra Putra menegaskan yang digelar oleh kubu yang kontra terhadap Ketua Umum Agus Harimurti Yudhoyono (AHY) dapat dipastikan inkonstitusional dan ilegal.
Konflik Kepengurusan Partai,Musyawarah,"Kepala Badan Komunikasi Strategis Partai Herzaky Mahendra Putra menegaskan kongres luar biasa (KLB) yang digelar oleh kelompok kontra-Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) bukan masalah internal Partai Demokrat saja. """
